"COST_ID","COST","PRODUCT_ID"
"1","26.98","1"
"2","22.47","2"
"3","22.48","3"
"4","20.54","4"
"5","30.7","5"
"6","40.19","6"
"7","16.96","7"
"8","27.96","8"
"9","24.19","9"
"10","34.82","10"
"11","27.21","11"
"12","15.71","12"
"13","33.38","13"
"14","9.23","14"
"15","35.63","15"
"16","11.84","16"
"17","27.46","17"
"18","11.87","18"
"19","7.81","19"
"20","4.06","20"
"21","7.99","21"
"22","6.56","22"
"23","17.82","23"
"24","18.47","24"
"25","17.38","25"
"26","23.37","26"
"27","3.58","27"
"28","11.33","28"
"29","14.35","29"
"30","13.34","30"
"31","6.02","31"
"32","3.62","32"
"33","3.68","33"
"34","8.19","34"
"35","7.78","35"
"36","13.61","36"
"37","8.27","37"
"38","8.41","38"
"39","5.67","39"
"40","10.35","40"
"41","4.09","41"
"42","9.48","42"
"43","4.09","43"
"44","7.58","44"
"45","1.87","45"
"46","2.58","46"
"47","8.55","47"
"48","9.39","48"
"49","2.44","49"
"50","14.0","50"
"51","37.29","51"
"52","34.93","52"
"53","7.35","53"
"54","8.91","54"
"55","4.19","55"
"56","18.48","56"
"57","13.29","57"
"58","4.6","58"
"59","4.25","59"
"60","6.54","60"
"61","10.6","61"
"62","5.64","62"
"63","1.22","63"
"64","20.69","64"
"65","14.64","65"
"66","6.87","66"
"67","24.84","67"
"68","17.22","68"
"69","16.62","69"
"70","23.23","70"
"71","6.5","71"
"72","9.31","72"
"73","2.02","73"
"74","5.38","74"
"75","9.81","75"
"76","9.82","76"
"77","4.82","77"
"78","7.16","78"
"79","7.53","79"
"80","2.98","80"
"81","7.22","81"
"82","8.0","82"
"83","4.73","83"
"84","5.61","84"
"85","2.7","85"
"86","1.96","86"
"87","1.75","87"
"88","5.27","88"
"89","6.37","89"
"90","5.53","90"
"91","6.54","91"
"92","3.38","92"
"93","2.53","93"
"94","8.54","94"
"95","1.35","95"
"96","7.78","96"
"97","3.59","97"
"98","1.25","98"
"99","4.21","99"
"100","8.11","100"
"101","11.76","101"
"102","12.37","102"
"103","4.36","103"
"104","3.19","104"
"105","2.67","105"
"106","2.87","106"
"107","14.81","107"
"108","16.39","108"
"109","9.37","109"
"110","6.99","110"
"111","8.4","111"
"112","5.89","112"
"113","12.62","113"
"114","4.47","114"
"115","4.1","115"
"116","5.68","116"
"117","1.48","117"
"118","9.77","118"
"119","4.5","119"
"120","6.0","120"
"121","8.43","121"
"122","7.34","122"
"123","10.82","123"
"124","9.01","124"
"125","13.41","125"
"126","4.07","126"
"127","8.66","127"
"128","6.51","128"
"129","10.91","129"
"130","10.82","130"
"131","13.93","131"
"132","8.62","132"
"133","4.92","133"
"134","7.29","134"
"135","4.73","135"
"136","4.89","136"
"137","4.53","137"
"138","8.15","138"
"139","15.11","139"
"140","4.02","140"
"141","9.2","141"
"142","9.75","142"
"143","5.9","143"
"144","2.8","144"
"145","5.02","145"
"146","4.45","146"
"147","4.31","147"
"148","4.23","148"
"149","1.23","149"
"150","1.99","150"
"151","5.71","151"
"152","3.71","152"
"153","2.35","153"
"154","2.69","154"
"155","2.12","155"
"156","15.74","156"
"157","6.35","157"
