"PROMOTION_ID","DISCOUNT","END_DATE","START_DATE","PRODUCT_ID","SUPERMARKET_ID"
"1","0.49","2016-07-21","2016-07-03","1","7"
"2","0.49","2016-11-07","2016-10-22","1","10"
"3","0.5","2016-06-08","2016-05-31","2","6"
"4","0.36","2016-11-07","2016-10-14","2","10"
"5","0.91","2016-10-28","2016-10-06","3","7"
"6","0.7","2016-08-18","2016-07-24","3","21"
"7","0.41","2016-07-03","2016-06-07","4","1"
"8","0.91","2016-06-13","2016-05-16","4","19"
"9","0.35","2016-05-17","2016-04-22","5","2"
"10","0.9","2016-11-27","2016-10-30","7","6"
"11","0.62","2016-10-11","2016-09-16","8","10"
"12","0.58","2016-10-13","2016-09-19","9","17"
"13","0.75","2016-08-17","2016-08-09","9","18"
"14","0.88","2016-05-13","2016-04-15","9","19"
"15","0.69","2016-10-03","2016-09-26","9","20"
"16","0.76","2016-09-05","2016-08-21","10","10"
"17","0.93","2016-11-04","2016-10-13","10","15"
"18","0.45","2016-06-02","2016-05-16","11","3"
"19","0.83","2016-06-06","2016-05-20","12","3"
"20","0.69","2016-07-20","2016-06-24","12","4"
"21","0.47","2016-07-30","2016-07-15","13","8"
"22","0.39","2016-08-15","2016-08-06","14","15"
"23","0.95","2016-10-05","2016-09-10","14","21"
"24","0.38","2016-10-26","2016-10-02","15","13"
"25","0.84","2016-07-01","2016-06-07","15","19"
"26","0.88","2016-10-29","2016-10-09","15","21"
"27","0.53","2016-11-02","2016-10-11","16","4"
"28","0.41","2016-06-20","2016-06-01","16","8"
"29","0.84","2016-11-05","2016-10-11","16","15"
"30","0.4","2016-08-05","2016-07-22","17","2"
"31","0.84","2016-06-01","2016-05-22","18","6"
"32","0.37","2016-09-11","2016-08-25","18","7"
"33","0.36","2016-08-04","2016-07-28","18","10"
"34","0.79","2016-10-16","2016-09-20","19","8"
"35","0.67","2016-11-05","2016-10-13","19","11"
"36","0.37","2016-08-08","2016-07-25","19","19"
"37","0.79","2016-10-03","2016-09-16","20","1"
"38","0.77","2016-08-31","2016-08-24","20","6"
"39","0.31","2016-05-20","2016-05-09","21","9"
"40","0.84","2016-08-05","2016-07-25","21","17"
"41","0.91","2016-05-30","2016-05-17","21","18"
"42","0.83","2016-10-17","2016-10-07","22","18"
"43","0.41","2016-10-27","2016-10-05","23","8"
"44","0.61","2016-09-04","2016-08-19","23","18"
"45","0.47","2016-06-03","2016-05-23","23","19"
"46","0.66","2016-06-05","2016-05-10","25","2"
"47","0.49","2016-05-30","2016-05-13","25","19"
"48","0.93","2016-09-28","2016-09-18","26","5"
"49","0.72","2016-10-28","2016-10-18","26","8"
"50","0.76","2016-08-24","2016-07-27","26","10"
"51","0.85","2016-06-30","2016-06-06","26","16"
"52","0.31","2016-07-12","2016-06-23","29","13"
"53","0.61","2016-09-18","2016-08-31","30","19"
"54","0.62","2016-05-02","2016-04-15","31","3"
"55","0.47","2016-05-23","2016-05-11","31","7"
"56","0.55","2016-07-23","2016-07-14","32","4"
"57","0.4","2016-07-15","2016-06-29","32","16"
"58","0.76","2016-06-13","2016-05-16","32","20"
"59","0.72","2016-05-29","2016-05-18","33","14"
"60","0.86","2016-07-05","2016-06-07","34","10"
"61","0.42","2016-09-06","2016-08-15","36","10"
"62","0.35","2016-10-25","2016-10-17","36","18"
"63","0.48","2016-06-06","2016-05-23","37","6"
